idCuando	idQue	idDonde	unidades	clientes
4	34	9	88	73
4	35	14	75	60
4	36	11	77	67
4	37	11	88	74
4	38	3	74	72
4	39	19	29	29
4	40	7	53	53
4	41	2	88	84
4	42	10	82	44
4	43	5	12	8
4	44	3	100	61
4	45	9	7	7
4	46	17	77	66
4	47	18	69	64
4	48	6	69	48
4	49	18	89	71
4	50	7	3	3
4	51	11	76	46
4	52	20	40	23
4	53	6	20	12
4	54	19	66	56
4	55	7	94	65
4	56	18	38	38
4	57	20	31	20
4	58	13	39	37
4	59	6	95	48
4	60	5	99	73
5	1	11	5	4
5	2	11	55	48
5	3	16	37	29
5	4	19	72	58
5	5	6	35	22
5	6	13	85	70
5	7	10	22	21
5	8	11	28	19
5	9	3	24	14
5	10	5	64	52
5	11	2	71	69
5	12	18	24	15
5	13	6	29	20
5	14	3	35	29
5	15	16	29	29
5	16	18	14	8
5	17	17	90	85
5	18	19	81	45
5	19	3	30	19
5	20	11	67	62
5	21	10	92	60
5	22	2	28	27
5	23	6	94	82
5	24	10	85	51
5	25	16	51	50
5	26	11	23	15
5	27	3	1	1
5	28	4	33	28
5	29	6	99	82
5	30	15	20	20
5	31	10	98	53
5	32	1	41	40
5	33	4	82	62
5	34	16	80	69
5	35	16	81	70
5	36	19	11	9
5	37	20	15	10
5	38	7	10	5
5	39	1	12	6
5	40	19	21	19
5	41	1	83	49
5	42	11	24	23
5	43	20	24	15
5	44	9	29	21
5	45	3	2	1
5	46	7	98	53
5	47	2	72	60
5	48	7	99	79
5	49	8	5	3
5	50	9	45	37
5	51	15	100	64
5	52	19	19	14
5	53	10	12	8
5	54	8	11	9
5	55	10	3	3
5	56	15	5	3
5	57	11	38	30
5	58	1	62	33
5	59	9	96	62
5	60	3	79	63
6	1	6	65	41
6	2	9	57	30
6	3	9	64	49
6	4	1	98	52
6	5	8	38	22
6	6	3	86	80
6	7	1	80	71
6	8	17	35	28
6	9	18	51	30
6	10	6	76	42
6	11	20	88	81
6	12	8	70	68
6	13	17	83	63
6	14	6	17	14
6	15	20	6	4
6	16	11	8	6
6	17	18	34	22
6	18	11	74	65
6	19	7	76	53
6	20	3	20	11
6	21	1	2	2
6	22	8	38	22
6	23	2	1	1
6	24	14	74	63
6	25	13	49	38
6	26	18	53	52
6	27	11	32	22
6	28	12	1	1
6	29	19	82	75
6	30	4	7	5
6	31	16	8	6
6	32	7	52	46
6	33	14	86	46
6	34	11	71	49
6	35	10	8	4
6	36	17	88	63
6	37	18	75	49
6	38	15	15	14
6	39	15	30	21
6	40	19	55	51
6	41	12	84	78
6	42	8	20	13
6	43	10	22	13
6	44	19	47	43
6	45	4	20	15
6	46	7	58	56
6	47	20	42	31
6	48	19	83	75
6	49	4	80	56
6	50	9	97	63
6	51	19	22	14
6	52	16	33	29
6	53	3	47	37
6	54	15	82	66
6	55	16	16	11
6	56	19	16	11
6	57	2	78	59
6	58	2	8	6
6	59	1	81	69
6	60	17	35	19
7	1	17	99	60
7	2	1	42	34
7	3	14	31	27
7	4	9	58	49
7	5	11	95	54
7	6	11	9	7
7	7	14	20	11
7	8	11	11	6
7	9	14	40	22
7	10	15	76	76
7	11	1	28	15
7	12	14	88	73
7	13	20	85	54
7	14	2	40	20
7	15	20	34	29
7	16	9	63	39
7	17	13	54	44
7	18	2	31	20
7	19	6	67	56
7	20	6	13	9
7	21	8	81	47
7	22	19	1	1
7	23	12	39	28
7	24	10	36	19
7	25	8	60	47
7	26	8	67	61
7	27	16	89	83
7	28	7	96	57
7	29	12	28	17
7	30	4	23	19
7	31	5	88	86
7	32	1	45	40
7	33	15	41	29
7	34	15	34	31
7	35	2	1	1
7	36	7	63	43
7	37	11	6	4
7	38	12	70	57
7	39	18	77	48
7	40	14	9	7
7	41	11	92	65
7	42	16	95	51
7	43	10	17	12
7	44	9	84	67
7	45	11	39	32
7	46	5	83	55
7	47	6	7	7
7	48	1	87	75
7	49	14	97	66
7	50	4	20	18
7	51	10	13	13
7	52	3	43	22
7	53	12	43	42
7	54	17	21	19
7	55	17	19	17
7	56	20	26	26
7	57	19	2	1
7	58	8	77	68
7	59	16	89	73
7	60	20	16	10
8	1	14	24	13
8	2	4	16	10
8	3	17	7	6
8	4	4	75	39
8	5	20	76	75
8	6	18	85	61
8	7	6	75	61
8	8	18	19	11
8	9	6	15	15
8	10	14	95	50
8	11	20	56	38
8	12	17	98	89
8	13	19	70	60
8	14	5	25	20
8	15	16	78	61
8	16	20	23	15
8	17	1	3	2
8	18	3	51	30
8	19	13	69	61
8	20	8	45	26
8	21	5	30	26
8	22	20	92	68
8	23	8	23	12
8	24	14	65	55
8	25	18	63	35
8	26	5	47	46
8	27	6	73	56
8	28	9	48	32
8	29	13	74	43
8	30	6	48	37
8	31	16	74	42
8	32	9	75	70
8	33	12	60	45
8	34	12	37	34
8	35	15	86	81
8	36	1	33	27
8	37	9	8	6
8	38	20	17	12
8	39	4	48	38
8	40	2	48	40
8	41	12	10	8
8	42	9	18	15
8	43	14	31	17
8	44	16	38	33
8	45	16	13	7
8	46	9	72	61
8	47	3	61	40
8	48	15	99	92
8	49	12	44	24
8	50	4	46	34
8	51	8	55	51
8	52	19	33	33
8	53	20	1	1
8	54	6	90	61
8	55	12	61	51
8	56	11	3	2
8	57	2	9	8
8	58	8	43	41
8	59	20	46	29
8	60	9	61	31
9	1	20	2	1
9	2	2	71	64
9	3	20	54	34
9	4	13	67	63
9	5	10	96	60
9	6	12	48	26
9	7	9	75	38
9	8	6	9	5
9	9	13	30	25
9	10	5	43	38
9	11	1	91	59
9	12	18	13	9
9	13	14	3	2
9	14	14	27	18
9	15	17	46	43
9	16	4	28	23
9	17	7	90	83
9	18	9	87	50
9	19	6	12	11
9	20	17	21	19
9	21	3	60	49
9	22	12	93	59
9	23	8	96	86
9	24	19	23	14
9	25	14	7	4
9	26	9	26	20
9	27	13	34	21
9	28	9	53	50
9	29	12	5	5
9	30	8	20	12
9	31	5	33	31
9	32	2	6	3
9	33	3	8	4
9	34	19	48	32
9	35	19	94	73
9	36	9	1	1
9	37	15	17	16
9	38	14	24	14
9	39	1	5	3
9	40	3	90	78
9	41	1	29	19
9	42	1	21	14
9	43	7	24	14
9	44	16	31	19
9	45	7	38	20
9	46	11	23	18
9	47	5	54	39
9	48	10	12	7
9	49	19	4	3
9	50	17	30	28
9	51	5	58	51
9	52	3	40	23
9	53	1	90	74
9	54	7	9	8
9	55	19	95	65
9	56	10	89	80
9	57	4	15	14
9	58	1	55	47
9	59	3	92	50
9	60	8	6	5
10	1	3	28	18
10	2	18	27	26
10	3	13	51	34
10	4	3	4	4
10	5	8	13	13
10	6	1	1	1
10	7	14	70	45
10	8	14	36	35
10	9	11	49	26
10	10	14	1	1
10	11	9	44	34
10	12	20	38	33
10	13	4	61	49
10	14	17	82	79
10	15	2	4	3
10	16	6	30	17
10	17	10	92	89
10	18	14	33	23
10	19	4	89	87
10	20	5	49	30
10	21	8	54	40
10	22	11	36	30
10	23	1	84	49
10	24	3	37	36
10	25	12	76	66
10	26	6	56	49
10	27	4	38	34
10	28	6	70	59
10	29	3	61	54
10	30	9	97	49
10	31	12	11	8
10	32	19	78	64
10	33	2	99	71
10	34	8	43	30
10	35	10	34	27
10	36	20	31	21
10	37	7	41	40
10	38	20	83	71
10	39	7	16	14
10	40	10	11	11
10	41	19	36	30
10	42	10	37	20
10	43	5	40	36
10	44	5	99	78
10	45	13	63	52
10	46	19	15	12
10	47	7	69	37
10	48	13	3	2
10	49	20	13	10
10	50	15	27	20
10	51	10	98	64
10	52	13	37	22
10	53	4	89	75
10	54	6	34	19
10	55	18	92	72
10	56	18	31	27
10	57	3	88	85
10	58	18	4	2
10	59	3	1	1
10	60	14	82	47
11	1	8	95	66
11	2	19	88	63
11	3	6	84	46
11	4	14	14	12
11	5	5	18	13
11	6	16	25	15
11	7	19	43	24
11	8	2	20	15
11	9	12	65	42
11	10	9	10	6
11	11	17	68	67
11	12	2	38	30
11	13	9	23	14
11	14	1	49	36
11	15	12	50	32
11	16	4	36	19
11	17	12	26	13
11	18	16	17	10
11	19	3	77	67
11	20	6	22	18
11	21	13	13	10
11	22	8	85	76
11	23	11	89	70
11	24	6	14	12
11	25	13	98	88
11	26	2	80	51
11	27	13	29	27
11	28	5	90	49
11	29	8	92	85
11	30	2	19	16
11	31	1	1	1
11	32	19	65	43
11	33	18	77	45
11	34	16	46	30
11	35	18	34	34
11	36	3	13	7
11	37	5	29	16
11	38	20	32	17
11	39	1	77	73
11	40	7	82	61
11	41	20	65	37
11	42	11	27	26
11	43	5	3	2
11	44	8	55	52
11	45	19	39	30
11	46	7	38	33
11	47	2	47	39
11	48	6	7	6
11	49	16	88	88
11	50	16	3	1
11	51	13	79	50
11	52	11	86	83
11	53	13	29	29
11	54	1	71	54
11	55	11	37	35
11	56	15	73	69
11	57	18	1	1
11	58	8	34	29
11	59	17	42	28
11	60	18	72	70
12	1	6	16	11
12	2	17	90	79
12	3	14	44	32
12	4	18	67	38
12	5	14	34	20
12	6	11	99	81
12	7	11	93	85
12	8	9	63	52
12	9	11	1	1
12	10	8	2	1
12	11	6	68	64
12	12	20	93	51
12	13	1	22	12
12	14	18	93	72
12	15	12	58	46
12	16	10	56	39
12	17	4	13	9
12	18	17	66	35
12	19	20	8	6
12	20	13	6	4
12	21	5	97	95
12	22	13	34	18
12	23	15	64	61
12	24	7	29	28
12	25	20	72	45
12	26	14	66	34
12	27	4	75	72
12	28	17	70	37
12	29	17	11	8
12	30	12	22	18
12	31	10	43	39
12	32	2	73	56
12	33	11	36	34
12	34	17	8	7
12	35	7	90	88
12	36	6	94	61
12	37	18	3	3
12	38	16	42	22
12	39	2	45	30
12	40	15	88	61
12	41	12	88	58
12	42	20	97	72
12	43	8	18	15
12	44	17	83	75
12	45	3	88	78
12	46	8	68	55
12	47	17	30	16
12	48	18	74	62
12	49	18	19	13
12	50	6	5	4
12	51	13	42	42
12	52	12	16	8
12	53	19	41	39
12	54	13	56	42
12	55	7	71	63
12	56	11	96	70
12	57	2	30	18
12	58	19	33	20
12	59	13	4	2
12	60	11	68	51
13	1	9	33	20
13	2	14	83	74
13	3	16	51	38
13	4	3	85	68
13	5	20	20	13
13	6	11	2	1
13	7	18	91	66
13	8	11	35	29
13	9	9	89	79
13	10	15	1	1
13	11	3	93	55
13	12	1	51	37
13	13	14	64	46
13	14	11	85	71
13	15	18	17	15
13	16	12	69	35
13	17	10	46	40
13	18	5	42	26
13	19	13	42	30
13	20	6	98	85
13	21	11	66	50
13	22	11	69	45
13	23	16	85	77
13	24	10	48	44
13	25	5	46	46
13	26	16	66	34
13	27	17	93	63
13	28	3	55	41
13	29	7	1	1
13	30	15	4	2
13	31	11	60	36
13	32	2	26	26
13	33	18	39	38
13	34	8	22	11
13	35	12	46	38
13	36	18	64	36
13	37	11	15	9
13	38	14	24	18
13	39	7	27	22
13	40	2	12	9
13	41	20	71	40
13	42	16	65	37
13	43	5	27	16
13	44	7	15	14
13	45	19	73	70
13	46	5	41	38
13	47	11	72	68
13	48	9	77	60
13	49	19	61	32
13	50	2	13	12
13	51	19	92	58
13	52	13	13	6
13	53	2	27	24
13	54	5	72	40
13	55	6	44	23
13	56	13	49	44
13	57	13	73	66
13	58	6	79	74
13	59	2	39	27
13	60	13	4	3
14	1	4	8	8
14	2	10	56	37
14	3	18	15	13
14	4	3	83	69
14	5	17	1	1
14	6	18	28	23
14	7	2	26	21
14	8	17	54	34
14	9	4	86	80
14	10	14	67	56
14	11	20	98	79
14	12	15	80	45
14	13	11	62	41
14	14	9	89	57
14	15	20	56	40
14	16	6	73	60
14	17	1	90	55
14	18	12	31	16
14	19	1	36	18
14	20	15	35	26
14	21	6	56	31
14	22	4	69	53
14	23	19	96	82
14	24	5	73	69
14	25	17	6	3
14	26	4	86	62
14	27	10	28	16
14	28	17	72	63
14	29	1	19	14
14	30	2	83	47
14	31	8	6	3
14	32	14	51	29
14	33	16	14	10
14	34	2	31	23
14	35	7	49	30
14	36	14	26	18
14	37	3	68	39
14	38	13	68	45
14	39	17	55	48
14	40	10	92	52
14	41	13	10	7
14	42	2	72	64
14	43	13	52	50
14	44	4	7	5
14	45	19	40	38
14	46	10	83	63
14	47	6	72	66
14	48	20	44	34
14	49	6	29	22
14	50	20	17	13
14	51	3	32	23
14	52	1	35	34
14	53	17	55	44
14	54	16	4	2
14	55	7	1	1
14	56	18	48	38
14	57	14	76	61
14	58	16	17	12
14	59	9	11	8
14	60	8	3	3
15	1	6	38	36
15	2	10	87	85
15	3	3	9	6
15	4	11	68	59
15	5	13	97	60
15	6	14	17	9
15	7	13	25	25
15	8	20	55	40
15	9	17	36	26
15	10	16	57	47
15	11	9	49	35
15	12	19	27	15
15	13	17	29	19
15	14	3	67	56
15	15	13	73	37
15	16	1	89	79
15	17	1	73	48
15	18	18	94	50
15	19	7	29	27
15	20	2	43	31
15	21	18	48	47
15	22	19	22	12
15	23	20	90	72
15	24	10	83	55
15	25	20	60	42
15	26	16	48	32
15	27	10	46	43
15	28	19	13	9
15	29	12	87	78
15	30	12	86	83
15	31	3	75	49
15	32	5	64	54
15	33	7	41	21
15	34	12	39	26
15	35	14	90	81
15	36	19	13	12
15	37	13	74	71
15	38	14	10	9
15	39	10	82	67
15	40	17	84	62
15	41	12	12	12
15	42	3	29	15
15	43	20	10	8
15	44	3	62	33
15	45	13	36	23
15	46	7	97	51
15	47	13	82	48
15	48	14	58	57
15	49	14	90	52
15	50	2	23	21
15	51	9	98	84
15	52	10	32	20
15	53	5	100	50
15	54	19	70	48
15	55	17	81	61
15	56	12	46	24
15	57	4	21	20
15	58	3	44	33
15	59	6	63	46
15	60	3	9	5
16	1	13	10	8
16	2	11	45	29
16	3	13	57	57
16	4	20	14	9
16	5	10	16	15
16	6	4	81	52
16	7	8	1	1
16	8	18	5	3
16	9	17	31	26
16	10	13	87	76
16	11	15	37	24
16	12	11	6	5
16	13	17	10	10
16	14	15	52	37
16	15	7	84	68
16	16	18	24	14
16	17	14	36	29
16	18	9	29	28
16	19	19	87	51
16	20	2	54	45
16	21	12	52	45
16	22	3	97	91
16	23	15	86	73
16	24	6	90	55
16	25	12	94	63
16	26	20	50	40
16	27	12	56	36
16	28	19	18	18
16	29	18	72	49
16	30	7	89	54
16	31	8	83	64
16	32	14	52	48
16	33	14	49	47
16	34	2	75	54
16	35	20	76	75
16	36	7	45	38
16	37	8	29	24
16	38	5	43	27
16	39	13	4	3
16	40	9	88	77
16	41	1	49	41
16	42	17	97	66
16	43	2	44	23
16	44	10	35	19
16	45	16	71	67
16	46	14	77	63
16	47	3	63	59
16	48	19	76	68
16	49	6	34	19
16	50	5	56	36
16	51	13	1	1
16	52	17	8	5
16	53	17	45	33
16	54	2	61	51
16	55	11	67	42
16	56	14	96	68
16	57	9	37	28
16	58	6	74	49
16	59	1	14	13
16	60	7	97	82
17	1	19	2	2
17	2	2	58	52
17	3	12	60	37
17	4	5	77	41
17	5	3	93	53
17	6	11	4	3
17	7	10	1	1
17	8	20	14	13
17	9	16	25	24
17	10	15	85	77
17	11	14	44	43
17	12	2	44	33
17	13	9	12	10
17	14	10	79	51
17	15	7	34	19
17	16	8	15	9
17	17	3	34	29
17	18	6	30	21
17	19	18	86	68
17	20	10	49	36
17	21	13	2	2
17	22	18	25	14
17	23	20	33	21
17	24	4	61	53
17	25	5	43	38
17	26	5	54	41
17	27	14	38	21
17	28	6	96	77
17	29	7	53	44
17	30	11	5	4
17	31	9	29	22
17	32	8	21	19
17	33	17	65	39
17	34	16	55	40
17	35	20	73	69
17	36	6	3	3
17	37	5	94	48
17	38	6	68	54
17	39	12	81	68
17	40	17	46	35
17	41	7	100	55
17	42	4	29	14
17	43	1	19	16
17	44	7	94	52
17	45	10	11	8
17	46	6	21	16
17	47	1	84	59
17	48	2	29	25
17	49	5	8	6
17	50	20	29	27
17	51	19	48	39
17	52	1	34	25
17	53	3	59	34
17	54	9	91	84
17	55	19	58	42
17	56	14	51	49
17	57	9	54	42
17	58	3	86	51
17	59	16	99	74
17	60	10	54	45
18	1	9	50	37
18	2	16	5	3
18	3	18	54	31
18	4	18	56	35
18	5	19	8	4
18	6	3	70	53
18	7	8	36	26
18	8	8	68	41
18	9	15	51	27
18	10	1	91	83
18	11	6	11	9
18	12	19	35	27
18	13	13	1	1
18	14	14	64	44
18	15	13	2	1
18	16	6	64	48
18	17	15	48	46
18	18	15	73	60
18	19	11	59	53
18	20	15	6	3
18	21	10	1	1
18	22	4	45	24
18	23	17	58	30
18	24	7	40	37
18	25	1	50	46
18	26	3	95	94
18	27	9	74	46
18	28	15	98	97
18	29	12	58	58
18	30	1	45	23
18	31	13	70	47
18	32	19	66	37
18	33	8	77	51
18	34	2	44	35
18	35	6	68	56
18	36	6	94	59
18	37	10	19	18
18	38	11	60	59
18	39	4	96	81
18	40	4	70	69
18	41	7	94	81
18	42	2	8	8
18	43	16	82	79
18	44	20	1	1
18	45	7	7	4
18	46	8	11	6
18	47	12	38	27
18	48	3	25	19
18	49	1	47	43
18	50	11	12	6
18	51	8	1	1
18	52	14	69	50
18	53	19	40	23
18	54	11	64	55
18	55	17	27	20
18	56	11	82	63
18	57	13	36	23
18	58	6	62	62
18	59	11	63	45
18	60	12	61	37
19	1	8	27	17
19	2	6	90	57
19	3	17	79	42
19	4	4	45	43
19	5	16	71	48
19	6	10	44	28
19	7	6	56	50
19	8	6	54	36
19	9	11	44	40
19	10	3	3	2
19	11	19	78	48
19	12	6	60	57
19	13	16	1	1
19	14	17	41	32
19	15	1	64	46
19	16	1	79	42
19	17	12	42	24
19	18	11	52	31
19	19	14	48	46
19	20	3	55	35
19	21	7	23	20
19	22	13	82	62
19	23	10	53	40
19	24	1	16	10
19	25	10	81	46
19	26	1	25	18
19	27	9	26	21
19	28	17	37	33
19	29	14	18	13
19	30	19	77	67
19	31	4	40	24
19	32	7	67	63
19	33	13	49	39
19	34	16	59	51
19	35	5	82	74
19	36	10	28	24
19	37	18	64	54
19	38	19	46	24
19	39	4	55	55
19	40	16	26	15
19	41	13	57	50
19	42	9	4	2
19	43	15	72	46
19	44	3	71	40
19	45	16	53	29
19	46	20	51	44
19	47	8	89	57
19	48	14	47	38
19	49	8	42	40
19	50	9	70	48
19	51	11	49	47
19	52	1	64	42
19	53	17	89	62
19	54	5	24	20
19	55	8	55	50
19	56	15	27	17
19	57	2	45	32
19	58	2	1	1
19	59	18	18	16
19	60	6	31	18
20	1	20	39	29
20	2	11	21	12
20	3	5	27	21
20	4	12	75	63
20	5	16	100	89
20	6	12	26	16
20	7	11	25	23
20	8	19	60	43
20	9	13	100	74
20	10	4	97	54
20	11	17	1	1
20	12	12	23	18
20	13	9	83	82
20	14	5	38	29
20	15	3	17	13
20	16	12	44	35
20	17	13	49	42
20	18	3	17	14
20	19	4	16	12
20	20	17	24	20
20	21	10	6	5
20	22	4	59	41
20	23	3	49	28
20	24	10	31	27
20	25	16	41	30
20	26	16	90	54
20	27	18	47	38
20	28	2	55	44
20	29	9	75	57
20	30	15	64	55
20	31	2	3	2
20	32	13	17	10
20	33	10	58	42
20	34	1	5	4
20	35	3	66	34
20	36	19	69	48
20	37	18	58	49
20	38	14	37	30
20	39	4	82	81
20	40	7	11	8
20	41	9	27	27
20	42	9	71	67
20	43	8	85	51
20	44	6	33	27
20	45	6	7	4
20	46	12	44	31
20	47	7	59	49
20	48	16	13	10
20	49	3	92	89
20	50	10	82	44
20	51	20	1	1
20	52	1	53	50
20	53	20	21	12
20	54	20	87	83
20	55	2	39	22
20	56	17	8	7
20	57	1	98	88
20	58	12	70	64
20	59	6	71	42
20	60	8	100	87
21	1	4	26	20
21	2	13	86	51
21	3	17	70	43
21	4	14	12	10
21	5	17	46	36
21	6	11	97	69
21	7	10	79	68
21	8	11	86	85
21	9	10	47	38
21	10	19	69	59
21	11	8	43	34
21	12	6	57	55
21	13	4	63	46
21	14	12	100	72
21	15	16	29	26
21	16	8	42	27
21	17	12	8	5
21	18	11	81	69
21	19	20	70	57
21	20	12	79	71
21	21	19	43	30
21	22	13	8	5
21	23	20	88	71
21	24	4	74	41
21	25	16	44	32
21	26	5	89	72
21	27	12	95	71
21	28	4	10	5
21	29	5	53	28
21	30	7	59	55
21	31	9	99	96
21	32	17	50	45
21	33	13	4	3
21	34	8	96	66
21	35	16	7	7
21	36	17	35	32
21	37	15	100	76
21	38	16	17	11
21	39	1	79	66
21	40	19	27	16
21	41	18	95	66
21	42	14	17	11
21	43	18	22	17
21	44	2	33	29
21	45	5	95	81
21	46	12	67	52
21	47	18	98	75
21	48	16	3	2
21	49	18	53	40
21	50	18	62	45
21	51	11	36	25
21	52	8	89	70
21	53	15	88	85
21	54	2	57	34
21	55	12	74	37
21	56	7	67	41
21	57	18	7	5
21	58	17	77	39
21	59	9	18	17
21	60	12	68	37
22	1	4	65	46
22	2	13	29	19
22	3	10	83	61
22	4	7	6	5
22	5	8	13	9
22	6	17	81	54
22	7	9	12	12
22	8	8	22	21
22	9	17	83	61
22	10	12	83	67
22	11	4	20	11
22	12	6	42	36
22	13	8	87	82
22	14	5	81	51
22	15	16	47	36
22	16	8	87	85
22	17	8	60	35
22	18	19	42	40
22	19	19	27	25
22	20	10	24	23
22	21	18	56	45
22	22	5	9	5
22	23	14	7	5
22	24	5	75	49
22	25	9	74	69
22	26	19	62	43
22	27	5	87	64
22	28	16	61	31
22	29	17	88	71
22	30	20	91	65
22	31	3	91	47
22	32	7	66	45
22	33	2	17	16
22	34	15	34	26
22	35	19	11	11
22	36	6	62	52
22	37	17	96	61
22	38	6	88	55
22	39	6	4	4
22	40	3	29	28
22	41	9	59	50
22	42	14	87	77
22	43	8	17	11
22	44	12	77	53
22	45	1	81	51
22	46	11	50	48
22	47	5	26	25
22	48	19	57	46
22	49	20	74	55
22	50	3	44	39
22	51	17	70	49
22	52	7	44	30
22	53	13	66	64
22	54	6	88	59
22	55	6	17	15
22	56	14	12	10
22	57	19	55	35
22	58	16	97	91
22	59	5	32	18
22	60	9	60	40
23	1	3	46	37
23	2	20	79	64
23	3	6	77	45
23	4	15	63	50
23	5	19	71	61
23	6	4	28	16
23	7	13	68	58
23	8	14	71	39
23	9	1	24	21
23	10	19	57	54
23	11	10	51	44
23	12	7	80	61
23	13	9	45	32
23	14	5	48	37
23	15	3	54	39
23	16	12	52	31
23	17	2	4	3
23	18	8	92	86
23	19	7	12	8
23	20	15	8	4
23	21	8	4	2
23	22	7	96	58
23	23	19	41	39
23	24	17	74	47
23	25	8	36	28
23	26	20	51	46
23	27	1	60	52
23	28	13	41	23
23	29	7	46	34
23	30	4	68	61
23	31	17	64	48
23	32	11	63	44
23	33	6	1	1
23	34	3	4	3
23	35	7	69	42
23	36	4	6	6
23	37	12	8	4
23	38	6	26	20
23	39	12	6	3
23	40	11	37	34
23	41	11	4	3
23	42	15	84	52
23	43	18	68	43
23	44	15	3	3
23	45	18	52	44
23	46	17	72	45
23	47	14	18	14
23	48	19	45	27
23	49	1	51	42
23	50	12	88	75
23	51	9	39	22
23	52	14	56	44
23	53	14	4	4
23	54	19	34	28
23	55	16	9	8
23	56	14	80	70
23	57	12	4	3
23	58	20	21	21
23	59	9	40	39
23	60	8	38	26
24	1	17	21	12
24	2	8	66	35
24	3	9	17	9
24	4	15	63	47
24	5	14	10	9
24	6	16	11	7
24	7	1	54	50
24	8	6	93	92
24	9	14	67	64
24	10	3	85	61
24	11	7	42	32
24	12	13	49	25
24	13	13	30	17
24	14	16	16	10
24	15	5	1	1
